"period","N","V"
"1550-1649",53,24
"1550-1649",54,24
"1550-1649",55,24
"1550-1649",56,25
"1550-1649",57,25
"1550-1649",58,26
"1650-1749",1,1
"1650-1749",2,2
"1650-1749",3,3
"1650-1749",4,4
"1650-1749",5,5
"1650-1749",6,5
"1650-1749",7,6
"1650-1749",8,6
"1650-1749",9,6
"1650-1749",10,7
"1650-1749",11,7
"1650-1749",12,7
"1650-1749",13,8
"1650-1749",14,9
"1650-1749",15,10
"1650-1749",16,11
"1650-1749",17,11
"1650-1749",18,12
"1650-1749",19,13
"1650-1749",20,13
"1650-1749",21,14
"1650-1749",22,14
"1650-1749",23,15
"1650-1749",24,15
"1650-1749",25,16
"1650-1749",26,17
"1650-1749",27,17
"1650-1749",28,18
"1650-1749",29,19
"1650-1749",30,19
"1650-1749",31,20
"1650-1749",32,20
"1650-1749",33,21
"1650-1749",34,21
"1650-1749",35,22
"1650-1749",36,23
"1650-1749",37,24
"1650-1749",38,24
"1650-1749",39,25
"1650-1749",40,26
"1650-1749",41,27
"1650-1749",42,27
"1750-1849",1,1
"1750-1849",2,2
"1750-1849",3,2
"1750-1849",4,2
"1750-1849",5,3
"1750-1849",6,4
"1750-1849",7,5
"1750-1849",8,6
"1750-1849",9,6
"1750-1849",10,6
"1750-1849",11,7
"1750-1849",12,8
"1750-1849",13,9
"1750-1849",14,10
"1750-1849",15,10
"1750-1849",16,11
"1750-1849",17,11
"1750-1849",18,12
"1750-1849",19,13
"1750-1849",20,13
"1750-1849",21,14
"1750-1849",22,15
"1750-1849",23,16
"1750-1849",24,16
"1750-1849",25,17
"1750-1849",26,17
"1750-1849",27,18
"1750-1849",28,19
"1750-1849",29,19
"1750-1849",30,19
"1750-1849",31,19
"1750-1849",32,19
"1750-1849",33,19
"1750-1849",34,19
"1750-1849",35,19
"1750-1849",36,19
"1750-1849",37,19
"1750-1849",38,19
"1750-1849",39,19
"1750-1849",40,19
"1750-1849",41,19
"1750-1849",42,20
"1750-1849",43,20
"1750-1849",44,21
"1750-1849",45,21
"1750-1849",46,22
"1750-1849",47,22
"1750-1849",48,23
"1750-1849",49,23
"1750-1849",50,23
"1750-1849",51,23
"1750-1849",52,23
"1750-1849",53,23
"1750-1849",54,23
"1750-1849",55,23
"1750-1849",56,24
"1750-1849",57,24
"1850-1914",1,1
"1850-1914",2,2
"1850-1914",3,2
"1850-1914",4,2
"1850-1914",5,3
"1850-1914",6,4
"1850-1914",7,4
"1850-1914",8,4
"1850-1914",9,5
"1850-1914",10,6
"1850-1914",11,6
"1850-1914",12,7
"1850-1914",13,8
"1850-1914",14,9
"1850-1914",15,10
"1850-1914",16,11
"1850-1914",17,11
"1850-1914",18,11
"1850-1914",19,11
"1850-1914",20,12
"1850-1914",21,13
"1850-1914",22,14
"1850-1914",23,15
"1850-1914",24,16
"1850-1914",25,16
"1850-1914",26,17
"1850-1914",27,18
"1850-1914",28,18
"1850-1914",29,19
"1850-1914",30,19
"1850-1914",31,19
"1850-1914",32,20
"1850-1914",33,21
"1850-1914",34,22
"1850-1914",35,22
"1850-1914",36,23
"1850-1914",37,23
"1850-1914",38,23
"1850-1914",39,23
"1850-1914",40,24
"1850-1914",41,24
"1850-1914",42,24
"1850-1914",43,24
"1850-1914",44,24
"1850-1914",45,24
"1850-1914",46,24
"1850-1914",47,24
"1850-1914",48,24
"1850-1914",49,25
"1850-1914",50,25
"1850-1914",51,25
"1850-1914",52,26
"1850-1914",53,27
"1850-1914",54,28
"1850-1914",55,29
"1850-1914",56,30
