"period","N","V"
"1482-1549",110,34
"1482-1549",111,34
"1482-1549",112,34
"1482-1549",113,34
"1482-1549",114,34
"1482-1549",115,34
"1482-1549",116,34
"1482-1549",117,34
"1482-1549",118,34
"1482-1549",119,35
"1482-1549",120,35
"1482-1549",121,35
"1482-1549",122,36
"1482-1549",123,36
"1482-1549",124,36
"1482-1549",125,36
"1482-1549",126,36
"1482-1549",127,36
"1482-1549",128,37
"1482-1549",129,37
"1482-1549",130,38
"1482-1549",131,38
"1482-1549",132,38
"1482-1549",133,38
"1482-1549",134,38
"1482-1549",135,39
"1482-1549",136,39
"1482-1549",137,39
"1482-1549",138,40
"1482-1549",139,40
"1482-1549",140,40
"1482-1549",141,40
"1482-1549",142,40
"1482-1549",143,40
"1482-1549",144,41
"1482-1549",145,41
"1482-1549",146,41
"1482-1549",147,42
"1482-1549",148,43
"1482-1549",149,43
"1482-1549",150,43
"1482-1549",151,43
"1482-1549",152,43
"1482-1549",153,44
"1482-1549",154,45
"1482-1549",155,46
"1482-1549",156,47
"1482-1549",157,47
"1482-1549",158,47
"1482-1549",159,47
"1482-1549",160,48
"1482-1549",161,48
"1482-1549",162,48
"1482-1549",163,48
"1482-1549",164,48
"1482-1549",165,49
"1482-1549",166,49
"1482-1549",167,49
"1482-1549",168,49
"1482-1549",169,49
"1482-1549",170,49
"1482-1549",171,49
"1482-1549",172,49
"1482-1549",173,49
"1482-1549",174,49
"1482-1549",175,49
"1482-1549",176,49
"1482-1549",177,49
"1482-1549",178,49
"1482-1549",179,49
"1482-1549",180,49
"1482-1549",181,49
"1482-1549",182,49
"1482-1549",183,49
"1482-1549",184,49
"1482-1549",185,49
"1482-1549",186,49
"1550-1649",1,1
"1550-1649",2,2
"1550-1649",3,2
"1550-1649",4,3
"1550-1649",5,4
"1550-1649",6,5
"1550-1649",7,6
"1550-1649",8,6
"1550-1649",9,7
"1550-1649",10,8
"1550-1649",11,9
"1550-1649",12,10
"1550-1649",13,10
"1550-1649",14,11
"1550-1649",15,12
"1550-1649",16,13
"1550-1649",17,14
"1550-1649",18,15
"1550-1649",19,16
"1550-1649",20,17
"1550-1649",21,18
"1550-1649",22,18
"1550-1649",23,19
"1550-1649",24,19
"1550-1649",25,19
"1550-1649",26,19
"1550-1649",27,20
"1550-1649",28,20
"1550-1649",29,21
"1550-1649",30,21
"1550-1649",31,22
"1550-1649",32,22
"1550-1649",33,22
"1550-1649",34,22
"1550-1649",35,22
"1550-1649",36,22
"1550-1649",37,22
"1550-1649",38,22
"1550-1649",39,22
"1550-1649",40,23
"1550-1649",41,23
"1550-1649",42,23
"1550-1649",43,24
"1550-1649",44,24
"1550-1649",45,25
"1550-1649",46,26
"1550-1649",47,26
"1550-1649",48,26
"1550-1649",49,26
"1550-1649",50,26
"1550-1649",51,27
"1550-1649",52,27
"1550-1649",53,27
"1550-1649",54,27
"1550-1649",55,28
"1550-1649",56,28
"1550-1649",57,29
"1550-1649",58,29
"1550-1649",59,29
"1550-1649",60,29
"1550-1649",61,29
"1550-1649",62,29
"1550-1649",63,30
"1550-1649",64,30
"1550-1649",65,30
"1550-1649",66,31
"1550-1649",67,31
"1550-1649",68,31
"1550-1649",69,32
"1550-1649",70,32
"1550-1649",71,32
"1550-1649",72,32
"1550-1649",73,32
"1550-1649",74,33
"1550-1649",75,33
"1550-1649",76,33
"1550-1649",77,33
"1550-1649",78,34
"1550-1649",79,34
"1550-1649",80,34
"1550-1649",81,35
"1550-1649",82,36
"1550-1649",83,36
"1550-1649",84,36
"1550-1649",85,36
"1550-1649",86,36
"1550-1649",87,36
"1550-1649",88,37
"1550-1649",89,37
"1550-1649",90,37
"1550-1649",91,37
"1550-1649",92,37
"1550-1649",93,37
"1550-1649",94,37
"1550-1649",95,37
"1550-1649",96,38
"1550-1649",97,39
"1550-1649",98,40
"1550-1649",99,41
"1550-1649",100,42
"1550-1649",101,42
"1550-1649",102,42
"1550-1649",103,43
"1550-1649",104,43
"1550-1649",105,43
"1550-1649",106,43
"1550-1649",107,43
"1550-1649",108,43
"1550-1649",109,43
"1550-1649",110,43
"1550-1649",111,43
"1550-1649",112,43
"1550-1649",113,43
"1550-1649",114,44
"1550-1649",115,44
"1650-1749",1,1
"1650-1749",2,2
"1650-1749",3,3
"1650-1749",4,4
"1650-1749",5,5
"1650-1749",6,5
"1650-1749",7,6
"1650-1749",8,7
"1650-1749",9,8
"1650-1749",10,8
"1650-1749",11,9
"1650-1749",12,10
