"N","V"
295,85.4040473220648
296,85.5561924325291
297,85.7079993780908
298,85.8594700049307
299,86.0106061429231
300,86.161409605815
301,86.3118821914007
302,86.4620256816961
303,86.6118418431092
304,86.7613324266093
305,86.9104991678936
306,87.0593437875515
307,87.2078679912273
308,87.3560734697802
309,87.5039618994427
310,87.6515349419763
311,87.7987942448262
312,87.9457414412731
313,88.0923781505837
314,88.2387059781586
315,88.3847265156789
316,88.530441341251
317,88.6758520195488
318,88.8209601019551
319,88.9657671267004
320,89.1102746190005
321,89.254484091192
322,89.3983970428665
323,89.5420149610025
324,89.6853393200965
325,89.8283715822917
326,89.9711131975055
327,90.1135656035555
328,90.2557302262836
329,90.3976084796789
330,90.5392017659989
331,90.6805114758893
332,90.8215389885024
333,90.9622856716139
334,91.1027528817382
335,91.2429419642427
336,91.3828542534606
337,91.5224910728018
338,91.6618537348631
339,91.8009435415371
340,91.9397617841191
341,92.0783097434135
342,92.2165886898386
343,92.35459988353
344,92.4923445744432
345,92.6298240024543
346,92.7670393974606
347,92.9039919794787
348,93.0406829587423
349,93.1771135357992
350,93.3132849016056
351,93.4491982376213
352,93.5848547159022
353,93.7202554991927
354,93.8554017410165
355,93.9902945857664
356,94.1249351687935
357,94.2593246164949
358,94.3934640464006
359,94.5273545672593
360,94.6609972791231
361,94.7943932734321
362,94.9275436330965
363,95.0604494325792
364,95.1931117379766
365,95.3255316070991
366,95.45771008955
367,95.589648226804
368,95.7213470522849
369,95.8528075914421
370,95.9840308618263
371,96.1150178731645
372,96.2457696274342
373,96.3762871189366
374,96.506571334369
375,96.6366232528967
376,96.7664438462237
377,96.8960340786627
378,97.0253949072048
379,97.1545272815877
380,97.2834321443638
381,97.4121104309672
382,97.5405630697799
383,97.6687909821979
384,97.7967950826955
385,97.9245762788899
386,98.0521354716049
387,98.1794735549334
388,98.3065914162998
389,98.4334899365213
390,98.5601699898692
391,98.6866324441286
392,98.8128781606581
393,98.9389079944492
394,99.0647227941839
395,99.1903234022928
396,99.3157106550123
397,99.4408853824408
398,99.5658484085947
399,99.6906005514638
400,99.8151426230659
401,99.939475429501
402,100.063599771005
403,100.187516442002
404,100.31122623116
405,100.434729921436
406,100.558028290135
407,100.681122108956
408,100.804012144046
409,100.926699156046
410,101.049183900141
411,101.171467126112
412,101.293549578382
413,101.415431996064
414,101.537115113007
415,101.658599657847
416,101.779886354048
417,101.900975919952
418,102.021869068822
419,102.142566508891
420,102.2630689434
421,102.383377070648
422,102.503491584032
423,102.623413172094
424,102.743142518558
425,102.862680302379
426,102.98202719778
427,103.101183874296
428,103.220150996814
429,103.338929225614
430,103.457519216411
431,103.575921620392
432,103.694137084256
433,103.812166250257
434,103.930009756237
435,104.047668235669
436,104.165142317693
437,104.282432627152
438,104.399539784634
439,104.516464406505
440,104.633207104945
441,104.749768487988
442,104.866149159556
443,104.982349719491
444,105.098370763598
445,105.214212883671
446,105.329876667533
447,105.445362699071
448,105.560671558266
449,105.675803821227
450,105.790760060228
451,105.905540843737
452,106.02014673645
453,106.134578299323
454,106.248836089605
455,106.362920660868
456,106.476832563041
457,106.590572342436
458,106.704140541785
459,106.817537700267
460,106.930764353538
461,107.043821033762
462,107.156708269641
463,107.269426586442
464,107.381976506031
465,107.494358546895
466,107.606573224178
467,107.718621049702
468,107.830502532002
469,107.942218176347
470,108.053768484773
471,108.165153956109
472,108.276375086001
473,108.387432366942
474,108.498326288299
475,108.609057336335
476,108.71962599424
477,108.830032742155
478,108.940278057195
479,109.050362413479
480,109.160286282153
481,109.270050131411
482,109.379654426528
483,109.489099629877
484,109.598386200958
485,109.707514596417
486,109.816485270076
487,109.925298672951
488,110.03395525328
489,110.142455456542
490,110.250799725483
491,110.358988500137
492,110.467022217851
493,110.574901313302
494,110.682626218526
495,110.790197362935
496,110.89761517334
497,111.004880073975
498,111.111992486514
499,111.218952830097
500,111.325761521345
501,111.432418974387
502,111.538925600877
503,111.645281810016
504,111.751488008571
505,111.857544600896
506,111.963451988951
507,112.069210572322
508,112.174820748243
509,112.280282911612
510,112.38559745501
511,112.490764768724
512,112.595785240762
513,112.700659256873
514,112.805387200568
515,112.909969453133
516,113.014406393652
517,113.118698399022
518,113.222845843974
519,113.326849101089
520,113.430708540814
521,113.534424531482
522,113.637997439328
523,113.741427628509
524,113.844715461114
525,113.947861297189
526,114.050865494749
527,114.153728409794
528,114.256450396331
529,114.359031806382
530,114.461472990006
531,114.563774295315
532,114.665936068486
533,114.767958653779
534,114.869842393555
535,114.971587628286
536,115.073194696575
537,115.174663935168
538,115.275995678972
539,115.377190261067
540,115.478248012724
541,115.579169263416
542,115.679954340834
543,115.780603570902
544,115.881117277793
545,115.981495783939
546,116.081739410046
547,116.181848475111
548,116.281823296433
549,116.381664189627
550,116.481371468639
551,116.580945445757
552,116.680386431626
553,116.779694735261
554,116.878870664058
555,116.977914523812
556,117.076826618724
557,117.175607251417
558,117.274256722947
559,117.372775332817
560,117.47116337899
561,117.569421157898
562,117.667548964456
563,117.765547092075
564,117.863415832673
565,117.961155476686
566,118.058766313082
567,118.15624862937
568,118.253602711613
569,118.350828844439
570,118.447927311052
571,118.544898393245
572,118.641742371407
573,118.73845952454
574,118.835050130263
575,118.931514464829
576,119.027852803131
577,119.124065418717
578,119.220152583795
579,119.316114569248
580,119.411951644643
581,119.50766407824
582,119.603252137003
583,119.698716086611
584,119.794056191466
585,119.889272714704
586,119.984365918204
587,120.079336062597
588,120.174183407279
589,120.268908210415
590,120.363510728955
