"title","lemma","frequency"
"ContrafaytKreuterbuch","Wütigkeit",1
"ContrafaytKreuterbuch","Wahrheit",2
"ContrafaytKreuterbuch","Wissenheit",1
"NewKreuetterBuch","Bitterkeit",2
"NewKreuetterBuch","Blödigkeit",2
"NewKreuetterBuch","Feuchtigkeit",3
"NewKreuetterBuch","Herrlichkeit",1
"NewKreuetterBuch","Nutzbarkeit",1
"NewKreuetterBuch","Sehrigkeit",1
"NewKreuetterBuch","Sonderheit",2
"NewKreuetterBuch","Wahrheit",2
"NewKreuetterbbuch","Überflüssigkeit",2
"NewKreuetterbbuch","Blödigkeit",2
"NewKreuetterbbuch","Feuchtigkeit",2
"NewKreuetterbbuch","Keuschheit",1
"NewKreuetterbbuch","Krankheit",3
"NewKreuetterbbuch","Sauberkeit",1
"NewKreuetterbbuch","Sonderheit",5
"NewKreuetterbbuch","Trunkenheit",1
"WieSichMeniglich","Geschicklichkeit",2
"WieSichMeniglich","Krankheit",1
"WieSichMeniglich","Räudigkeit",1
"WieSichMeniglich","Sinnigkeit",1
"WieSichMeniglich","Torheit",1
"NewKreueterbuch","Bitterkeit",2
"NewKreueterbuch","Blödigkeit",1
"NewKreueterbuch","Feuchtigkeit",2
"NewKreueterbuch","Gesundheit",1
"NewKreueterbuch","Härtigkeit",1
"NewKreueterbuch","Heimlichkeit",1
"NewKreueterbuch","Reinigkeit",1
"NewKreueterbuch","Sauberkeit",1
"NewKreueterbuch","Trunkenheit",1
"Paradeiszgaertlein","Barmherzigkeit",1
"Paradeiszgaertlein","Christenheit",4
"Paradeiszgaertlein","Engbrüstigkeit",1
"Paradeiszgaertlein","Ewigkeit",5
"Paradeiszgaertlein","Gerechtigkeit",5
"Paradeiszgaertlein","Heiligkeit",2
"Paradeiszgaertlein","Herrlichkeit",3
"Paradeiszgaertlein","Krankheit",1
"Paradeiszgaertlein","Mannigfaltigkeit",1
"Paradeiszgaertlein","Reinigkeit",1
"Paradeiszgaertlein","Seligkeit",1
"Paradeiszgaertlein","Traurigkeit",1
"AlchymistischePractic","Heimlichkeit",2
"AlchymistischePractic","Krankheit",1
"AlchymistischePractic","Sonderheit",1
"AlchymistischePractic","Wissenheit",1
"HortulusSanitatis","Empfindlichkeit",1
"HortulusSanitatis","Feuchtigkeit",4
"HortulusSanitatis","Gelegenheit",3
"HortulusSanitatis","Gelindigkeit",1
"HortulusSanitatis","Krankheit",1
"HortulusSanitatis","Räudigkeit",1
"HortulusSanitatis","Sauberkeit",1
"HortulusSanitatis","Trunkenheit",1
"KraeuterbuchDesEdelen","Feuchtigkeit",6
"KraeuterbuchDesEdelen","Grobheit",1
"KraeuterbuchDesEdelen","Schwachheit",2
"KraeuterbuchDesEdelen","Vollkommenheit",3
"PflantzGart","Achtsamkeit",1
"PflantzGart","Beschaffenheit",13
"PflantzGart","Bescheidenheit",1
"PflantzGart","Erfahrenheit",6
"PflantzGart","Fruchtbarkeit",1
"PflantzGart","Gelegenheit",3
"PflantzGart","Gewohnheit",1
"PflantzGart","Gleichheit",4
"PflantzGart","Heimlichkeit",1
"PflantzGart","Schwermütigkeit",1
"PflantzGart","Sonderheit",1
"PflantzGart","Vollkommenheit",1
"PflantzGart","Vorsichtigkeit",2
"PflantzGart","Wahrheit",2
"PflantzGart","Widerwärtigkeit",1
"PflantzGart","Wissenheit",2
"PflantzGart","Zierlichkeit",1
"Wund-Artzney","Barmherzigkeit",1
"Wund-Artzney","Beschaffenheit",2
"Wund-Artzney","Empfindligkeit",1
"Wund-Artzney","Feuchtigkeit",4
"Wund-Artzney","Gütigkeit",1
"Wund-Artzney","Gelegenheit",2
"Wund-Artzney","Gesundheit",3
"Wund-Artzney","Gleichheit",1
"Wund-Artzney","Krankheit",10
"Wund-Artzney","Mildigkeit",1
"Wund-Artzney","Mutterkrankheit",1
"Wund-Artzney","Obrigkeit",1
"Phythologia","Bitterkeit",1
"ThesaurusSanitatis","Beschaffenheit",1
"ThesaurusSanitatis","Feuchtigkeit",1
"ThesaurusSanitatis","Gerechtigkeit",1
"ThesaurusSanitatis","Gesundheit",2
"ThesaurusSanitatis","Krankheit",18
"ThesaurusSanitatis","Schwachheit",1
"SonderbaresKraeuterbuch","Achtsamkeit",1
"SonderbaresKraeuterbuch","Engbrüstigkeit",6
"SonderbaresKraeuterbuch","Feuchtigkeit",5
"SonderbaresKraeuterbuch","Gesundheit",2
"SonderbaresKraeuterbuch","Krankheit",10
"SonderbaresKraeuterbuch","Reinigkeit",1
"SonderbaresKraeuterbuch","Schwachheit",3
"SonderbaresKraeuterbuch","Trunkenheit",1
"TheatrumBotanicum","Engbrüstigkeit",2
"TheatrumBotanicum","Feuchtigkeit",1
"TheatrumBotanicum","Krankheit",3
"TheatrumBotanicum","Trunkenheit",1
"ViridariumReformatum","Bitterkeit",2
"ViridariumReformatum","Feuchtigkeit",3
"ViridariumReformatum","Gewissheit",1
"ViridariumReformatum","Gleichheit",1
"ViridariumReformatum","Krankheit",3
"ViridariumReformatum","Müdigkeit",2
"ViridariumReformatum","Reinigkeit",1
"FloraSaturnizans","Anzündlichkeit",1
"FloraSaturnizans","Aufrichtigkeit",1
"FloraSaturnizans","Behutsamkeit",1
"FloraSaturnizans","Feuchtigkeit",1
"FloraSaturnizans","Gelegenheit",6
"FloraSaturnizans","Kleinigkeit",1
"FloraSaturnizans","Schönheit",1
"FloraSaturnizans","Vergessenheit",1
"FloraSaturnizans","Wahrheit",5
"MysterivmSigillorvm","Albernheit",1
"MysterivmSigillorvm","Behutsamkeit",1
"MysterivmSigillorvm","Dunkelheit",2
"MysterivmSigillorvm","Einstimmigkeit",1
"MysterivmSigillorvm","Engbrüstigkeit",4
"MysterivmSigillorvm","Feuchtigkeit",10
"MysterivmSigillorvm","Fruchtbarkeit",2
"MysterivmSigillorvm","Krankheit",10
"MysterivmSigillorvm","Räudigkeit",3
"MysterivmSigillorvm","Würdigkeit",1
"BlackwellischesKraeuterbuch","Beschaffenheit",2
"BlackwellischesKraeuterbuch","Feuchtigkeit",2
"BlackwellischesKraeuterbuch","Gewohnheit",1
"BlackwellischesKraeuterbuch","Krankheit",1
"BlackwellischesKraeuterbuch","Schwachheit",1
"BlackwellischesKraeuterbuch","Vollkommenheit",1
"EinleitungZuDerKraeuterkenntnisz","Ähnlichkeit",6
"EinleitungZuDerKraeuterkenntnisz","Dunkelheit",1
"EinleitungZuDerKraeuterkenntnisz","Verschiedenheit",3
"Unterricht","Bequemlichkeit",1
"Unterricht","Feuchtigkeit",1
"Unterricht","Krankheit",2
"GrundrissKraeuterkunde","Ähnlichkeit",5
"GrundrissKraeuterkunde","Feuchtigkeit",3
"GrundrissKraeuterkunde","Flüssigkeit",3
"GrundrissKraeuterkunde","Freiheit",1
"GrundrissKraeuterkunde","Gewissheit",6
"GrundrissKraeuterkunde","Reizbarkeit",4
"GrundrissKraeuterkunde","Schwierigkeit",1
"GrundrissKraeuterkunde","Vergessenheit",1
"Apothekerlexikon","Aufmerksamkeit",1
"Apothekerlexikon","Bitterkeit",1
"Apothekerlexikon","Dienlichkeit",1
"Apothekerlexikon","Fettigkeit",1
"Apothekerlexikon","Krankheit",5
"Apothekerlexikon","Schlaffheit",1
"Apothekerlexikon","Tätigkeit",2
"Apothekerlexikon","Taubheit",1
"Apothekerlexikon","Trunkenheit",2
"GetreueDarstellungUndBeschreibung","Feuchtigkeit",2
"Flora-7","Aufmerksamkeit",1
"Flora-7","Einheit",1
"Flora-7","Genauigkeit",1
"Flora-7","Rauigkeit",1
"Flora-7","Steifigkeit",1
"Flora-7","Torheit",1
"Flora-6","Gelegenheit",1
"Flora-6","Persönlichkeit",1
"EigenschaftenAllerHeilpflanzen","Bitterkeit",1
"EigenschaftenAllerHeilpflanzen","Engbrüstigkeit",2
"EigenschaftenAllerHeilpflanzen","Feuchtigkeit",5
"EigenschaftenAllerHeilpflanzen","Krankheit",10
"EigenschaftenAllerHeilpflanzen","Schwachheit",2
"EigenschaftenAllerHeilpflanzen","Verdaulichkeit",1
"EigenschaftenAllerHeilpflanzen","Vollkommenheit",1
"NochEinigeWorte","Ähnlichkeit",4
"NochEinigeWorte","Beschaffenheit",1
"NochEinigeWorte","Eigentümlichkeit",1
"NochEinigeWorte","Feuchtigkeit",5
"NochEinigeWorte","Flüssigkeit",1
"NochEinigeWorte","Gelegenheit",1
"NochEinigeWorte","Heftigkeit",1
"NochEinigeWorte","Richtigkeit",2
"NochEinigeWorte","Schwierigkeit",1
"NochEinigeWorte","Tätigkeit",3
"NochEinigeWorte","Verschiedenheit",2
"NochEinigeWorte","Wahrscheinlichkeit",1
"VorlesungenUeberKraeuterkunde","Ähnlichkeit",6
"VorlesungenUeberKraeuterkunde","Aufmerksamkeit",1
"VorlesungenUeberKraeuterkunde","Einfachheit",1
"VorlesungenUeberKraeuterkunde","Einheit",1
"VorlesungenUeberKraeuterkunde","Erhabenheit",1
"VorlesungenUeberKraeuterkunde","Flüssigkeit",4
"VorlesungenUeberKraeuterkunde","Krankheit",3
"VorlesungenUeberKraeuterkunde","Mannigfaltigkeit",1
"VorlesungenUeberKraeuterkunde","Richtigkeit",1
"VorlesungenUeberKraeuterkunde","Schönheit",2
"VorlesungenUeberKraeuterkunde","Vergessenheit",1
"GrossesIllustriertesKraeuterbuch","Übelkeit",1
"GrossesIllustriertesKraeuterbuch","Krankheit",2
"GrossesIllustriertesKraeuterbuch","Tätigkeit",1
"GrossesIllustriertesKraeuterbuch","Wichtigkeit",1
"DeutschePflanzennamen","Örtlichkeit",1
"DeutschePflanzennamen","Ähnlichkeit",3
"DeutschePflanzennamen","Brauchbarkeit",1
"DeutschePflanzennamen","Durchsichtigkeit",1
"DeutschePflanzennamen","Eigentümlichkeit",2
"DeutschePflanzennamen","Eintönigkeit",1
"DeutschePflanzennamen","Festigkeit",1
"DeutschePflanzennamen","Geheuerlichkeit",1
"DeutschePflanzennamen","Klarheit",2
"DeutschePflanzennamen","Mannigfaltigkeit",3
"DeutschePflanzennamen","Schönheit",1
"DeutschePflanzennamen","Schwierigkeit",1
"DeutschePflanzennamen","Tätigkeit",2
"DeutschePflanzennamen","Verschiedenheit",1
"DeutschePflanzennamen","Vollständigkeit",1
"DeutschePflanzennamen","Wahrscheinlichkeit",1
"DeutschePflanzennamen","Zweideutigkeit",1
"FloraDerPreussischenRheinlande","Ähnlichkeit",1
"FloraDerPreussischenRheinlande","Gleichzeitigkeit",1
"FloraDerPreussischenRheinlande","Schönheit",1
"FloraDerPreussischenRheinlande","Verschiedenheit",2
"FloraDerPreussischenRheinlande","Zierlichkeit",1
"GemeinnuetzigesKraeuterbuch","Ähnlichkeit",2
"GemeinnuetzigesKraeuterbuch","Übelkeit",1
"GemeinnuetzigesKraeuterbuch","Empfindlichkeit",1
"GemeinnuetzigesKraeuterbuch","Gleichgültigkeit",1
"GemeinnuetzigesKraeuterbuch","Krankheit",3
"GemeinnuetzigesKraeuterbuch","Schläfrigkeit",1
"GemeinnuetzigesKraeuterbuch","Schwerhörigkeit",1
"GemeinnuetzigesKraeuterbuch","Verschiedenheit",1
"GemeinnuetzigesKraeuterbuch","Wirksamkeit",2
"NatuerlichePflanzenfamilien","Mannigfaltigkeit",1
"Kraeuterbuch","Krankheit",7
"Kraeuterbuch","Müdigkeit",2
